GLOBALTIME -> ID  -- Machines Assigned
       180 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       180 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       180 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       240 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       240 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       240 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       240 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       240 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       240 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       240 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       240 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       240 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       240 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       240 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       240 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       240 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       240 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       240 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       240 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       240 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       240 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       240 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       240 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       240 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       240 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       240 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       240 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       300 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       300 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       300 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       300 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       300 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       300 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       300 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       300 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       300 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       300 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       300 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       300 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       300 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       300 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       300 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       300 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       300 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       300 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       300 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       300 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       300 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       300 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       300 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       300 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       360 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       360 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       360 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       360 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       360 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       360 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       360 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       360 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       360 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       360 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       360 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       360 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       360 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       360 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       360 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       360 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       360 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       360 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       360 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       360 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       360 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       360 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       360 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       360 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       420 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       420 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       420 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       420 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       420 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       420 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       420 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       420 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       420 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       420 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       420 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       420 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       420 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       420 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       420 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       420 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       420 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       420 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       420 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       420 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       420 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       420 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       420 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       420 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       480 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       480 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       480 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       480 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       480 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       480 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       480 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       480 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       480 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       480 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       480 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       480 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       480 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       480 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       480 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       480 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       480 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       480 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       480 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       480 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       480 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       480 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       480 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       480 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       540 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       540 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       540 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       540 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       540 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       540 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       540 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       540 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       540 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       540 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       540 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       540 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       540 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       540 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       540 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       540 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       540 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       540 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       540 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       540 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       540 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       540 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       540 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       540 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       600 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       600 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       600 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       600 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       600 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       600 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       600 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       600 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       600 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       600 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       600 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       600 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       600 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       600 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       600 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       600 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       600 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       600 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       600 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       600 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       600 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       600 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       600 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       600 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       660 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       660 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       660 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       660 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       660 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       660 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       660 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       660 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
       660 -> 91 -- Machine_9 (S: 0 , CT: 7632) 
       660 -> 57 -- Machine_10 (S: 0 , CT: 8977) 
       660 -> 71 -- Machine_11 (S: 0 , CT: 8009) 
       660 -> 87 -- Machine_12 (S: 0 , CT: 7699) 
       660 -> 73 -- Machine_13 (S: 0 , CT: 8667) 
       660 -> 14 -- Machine_14 (S: 0 , CT: 7236) 
       660 -> 94 -- Machine_15 (S: 0 , CT: 7696) 
       660 -> 35 -- Machine_16 (S: 0 , CT: 7889) 
       660 -> 38 -- Machine_17 (S: 0 , CT: 8519) 
       660 -> 15 -- Machine_18 (S: 0 , CT: 8913) 
       660 -> 17 -- Machine_19 (S: 0 , CT: 7792) 
       660 -> 92 -- Machine_20 (S: 0 , CT: 7666) 
       660 -> 75 -- Machine_21 (S: 0 , CT: 7734) 
       660 -> 45 -- Machine_22 (S: 0 , CT: 7868) 
       660 -> 8 -- Machine_23 (S: 0 , CT: 8172) 
       660 -> 99 -- Machine_24 (S: 0 , CT: 9143) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 79 -- Machine_0 (S: 0 , CT: 8292) 
       720 -> 98 -- Machine_1 (S: 0 , CT: 8149) 
       720 -> 74 -- Machine_2 (S: 0 , CT: 7483) 
       720 -> 76 -- Machine_3 (S: 0 , CT: 8648) 
       720 -> 54 -- Machine_4 (S: 0 , CT: 7826) 
       720 -> 77 -- Machine_5 (S: 0 , CT: 8399) 
       720 -> 56 -- Machine_6 (S: 0 , CT: 7954) 
       720 -> 32 -- Machine_7 (S: 0 , CT: 8228) 
       720 -> 68 -- Machine_8 (S: 0 , CT: 7918) 
