GLOBALTIME -> ID  -- Machines Assigned
       180 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       180 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       180 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       240 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       240 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       240 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       240 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       240 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       240 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       240 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       240 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       240 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       240 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       240 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       240 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       240 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       240 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       240 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       240 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       240 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       240 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       240 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       240 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       240 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       240 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       240 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       240 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       300 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       300 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       300 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       300 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       300 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       300 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       300 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       300 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       300 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       300 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       300 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       300 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       300 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       300 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       300 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       300 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       300 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       300 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       300 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       300 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       300 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       300 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       300 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       300 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       360 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       360 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       360 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       360 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       360 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       360 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       360 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       360 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       360 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       360 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       360 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       360 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       360 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       360 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       360 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       360 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       360 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       360 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       360 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       360 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       360 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       360 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       360 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       360 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       420 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       420 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       420 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       420 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       420 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       420 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       420 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       420 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       420 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       420 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       420 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       420 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       420 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       420 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       420 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       420 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       420 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       420 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       420 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       420 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       420 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       420 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       420 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       420 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       480 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       480 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       480 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       480 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       480 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       480 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       480 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       480 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       480 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       480 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       480 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       480 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       480 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       480 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       480 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       480 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       480 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       480 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       480 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       480 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       480 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       480 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       480 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       480 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       540 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       540 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       540 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       540 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       540 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       540 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       540 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       540 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       540 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       540 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       540 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       540 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       540 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       540 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       540 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       540 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       540 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       540 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       540 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       540 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       540 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       540 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       540 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       540 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       540 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       600 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       600 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       600 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       600 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       600 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       600 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       600 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       600 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       600 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       600 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       600 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       600 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       600 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       600 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       600 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       600 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       600 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       600 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       600 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
       600 -> 56 -- Machine_19 (S: 0 , CT: 7170) 
       600 -> 14 -- Machine_20 (S: 0 , CT: 8658) 
       600 -> 17 -- Machine_21 (S: 0 , CT: 7717) 
       600 -> 79 -- Machine_22 (S: 0 , CT: 8524) 
       600 -> 29 -- Machine_23 (S: 0 , CT: 7235) 
       600 -> 10 -- Machine_24 (S: 0 , CT: 7722) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 91 -- Machine_0 (S: 0 , CT: 8179) 
       660 -> 99 -- Machine_1 (S: 0 , CT: 7178) 
       660 -> 87 -- Machine_2 (S: 0 , CT: 8119) 
       660 -> 94 -- Machine_3 (S: 0 , CT: 8071) 
       660 -> 92 -- Machine_4 (S: 0 , CT: 7853) 
       660 -> 95 -- Machine_5 (S: 0 , CT: 7525) 
       660 -> 58 -- Machine_6 (S: 0 , CT: 7211) 
       660 -> 75 -- Machine_7 (S: 0 , CT: 7781) 
       660 -> 32 -- Machine_8 (S: 0 , CT: 8257) 
       660 -> 70 -- Machine_9 (S: 0 , CT: 7012) 
       660 -> 78 -- Machine_10 (S: 0 , CT: 7536) 
       660 -> 54 -- Machine_11 (S: 0 , CT: 8411) 
       660 -> 15 -- Machine_12 (S: 0 , CT: 7478) 
       660 -> 18 -- Machine_13 (S: 0 , CT: 8253) 
       660 -> 27 -- Machine_14 (S: 0 , CT: 7276) 
       660 -> 33 -- Machine_15 (S: 0 , CT: 9119) 
       660 -> 98 -- Machine_16 (S: 0 , CT: 8048) 
       660 -> 35 -- Machine_17 (S: 0 , CT: 8027) 
       660 -> 38 -- Machine_18 (S: 0 , CT: 7493) 
