GLOBALTIME -> ID  -- Machines Assigned
       180 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       180 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       180 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       240 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       240 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       240 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       240 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       240 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       240 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       240 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       240 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       240 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       240 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       240 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       240 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       240 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       240 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       240 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       240 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       240 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       240 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       240 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       240 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       240 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       240 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       240 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       240 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       300 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       300 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       300 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       300 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       300 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       300 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       300 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       300 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       300 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       300 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       300 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       300 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       300 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       300 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       300 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       300 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       300 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       300 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       300 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       300 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       300 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       300 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       300 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       300 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       360 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       360 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       360 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       360 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       360 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       360 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       360 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       360 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       360 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       360 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       360 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       360 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       360 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       360 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       360 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       360 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       360 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       360 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       360 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       360 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       360 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       360 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       360 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       360 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       420 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       420 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       420 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       420 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       420 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       420 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       420 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
