GLOBALTIME -> ID  -- Machines Assigned
       180 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       180 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       180 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       240 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       240 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       240 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       240 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       240 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       240 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       240 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       240 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       240 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       240 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       240 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       240 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       240 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       240 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       240 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       240 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       240 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       240 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       240 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       240 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       240 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       240 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       240 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       240 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       300 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       300 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       300 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       300 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       300 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       300 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       300 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       300 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       300 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       300 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       300 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       300 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       300 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       300 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       300 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       300 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       300 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       300 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       300 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       300 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       300 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       300 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       300 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       300 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       360 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       360 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       360 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       360 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       360 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       360 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       360 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       360 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       360 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       360 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       360 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       360 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       360 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       360 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       360 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       360 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       360 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       360 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       360 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       360 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       360 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       360 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       360 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       360 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       420 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       420 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       420 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       420 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       420 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       420 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       420 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       420 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       420 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       420 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       420 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       420 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       420 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       420 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       420 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       420 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       420 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       420 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       420 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       420 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       420 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       420 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       420 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       420 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       480 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       480 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
