GLOBALTIME -> ID  -- St  -- D-> -- D<- -- LCP -- TimeToComplete
         0 ->   0 --  -1 --   3 --   0 --  -1 --    7541
         0 ->   1 --  -1 --   5 --   1 --  -1 --    7499
         0 ->   2 --  -1 --   1 --   1 --  -1 --    6923
         0 ->   3 --  -1 --   2 --   1 --  -1 --    6894
         0 ->   4 --  -1 --   2 --   1 --  -1 --    7096
         0 ->   5 --  -1 --   2 --   1 --  -1 --    6938
         0 ->   6 --  -1 --   2 --   1 --  -1 --    6957
         0 ->   7 --  -1 --   1 --   2 --  -1 --    7332
         0 ->   8 --  -1 --   2 --   3 --  -1 --    7080
         0 ->   9 --  -1 --   2 --   1 --  -1 --    7490
         0 ->  10 --  -1 --   1 --   3 --  -1 --    7109
         0 ->  11 --  -1 --   1 --   1 --  -1 --    7032
         0 ->  12 --  -1 --   2 --   1 --  -1 --    7061
         0 ->  13 --  -1 --   1 --   3 --  -1 --    7155
         0 ->  14 --  -1 --   3 --   4 --  -1 --    7421
         0 ->  15 --  -1 --   2 --   4 --  -1 --    7014
         0 ->  16 --  -1 --   2 --   1 --  -1 --    6962
         0 ->  17 --  -1 --   2 --   3 --  -1 --    7124
         0 ->  18 --   0 --   0 --   4 --  -1 --    7396
         0 ->  19 --  -1 --   3 --   1 --  -1 --    7453
         0 ->  20 --  -1 --   1 --   2 --  -1 --    7112
         0 ->  21 --  -1 --   4 --   4 --  -1 --    6956
         0 ->  22 --  -1 --   1 --   1 --  -1 --    7387
         0 ->  23 --  -1 --   2 --   2 --  -1 --    7040
         0 ->  24 --  -1 --   2 --   2 --  -1 --    7491
         0 ->  25 --  -1 --   2 --   7 --  -1 --    7338
         0 ->  26 --  -1 --   1 --   8 --  -1 --    7528
         0 ->  27 --  -1 --   1 --   4 --  -1 --    7238
         0 ->  28 --  -1 --   1 --   5 --  -1 --    6931
         0 ->  29 --  -1 --   1 --   3 --  -1 --    6958
         0 ->  30 --   0 --   0 --   1 --  -1 --    7270
         0 ->  31 --  -1 --   1 --   8 --  -1 --    6891
         0 ->  32 --  -1 --   2 --  10 --  -1 --    7373
         0 ->  33 --   0 --   0 --   1 --  -1 --    7309
         0 ->  34 --  -1 --   1 --   4 --  -1 --    7395
         0 ->  35 --   0 --   0 --   7 --  -1 --    7485
         0 ->  36 --  -1 --   1 --   1 --  -1 --    7544
         0 ->  37 --  -1 --   1 --   1 --  -1 --    7345
         0 ->  38 --  -1 --   1 --   6 --  -1 --    6993
         0 ->  39 --  -1 --   1 --   2 --  -1 --    7248
         0 ->  40 --  -1 --   1 --   3 --  -1 --    7104
         0 ->  41 --  -1 --   1 --  11 --  -1 --    7078
         0 ->  42 --  -1 --   1 --   4 --  -1 --    7158
         0 ->  43 --  -1 --   1 --   1 --  -1 --    7114
         0 ->  44 --  -1 --   2 --  12 --  -1 --    7126
