GLOBALTIME -> Machine_XX -- St  -- StartedTim -- CompTim -- MacEff -- MFault 
    429600 -> Machine_33 --   1 --          0 --       0 -- 1.0000 -- 0.0000 
    429600 -> Machine_34 --   1 --          0 --       0 -- 0.8400 -- 0.0000 
    429600 -> Machine_35 --   1 --          0 --       0 -- 0.9500 -- 0.0000 
    429600 -> Machine_36 --   1 --          0 --       0 -- 0.9100 -- 0.0000 
    429600 -> Machine_37 --   1 --          0 --       0 -- 0.8200 -- 0.0000 
    429600 -> Machine_38 --   1 --          0 --       0 -- 0.8500 -- 0.0000 
    429600 -> Machine_39 --   1 --          0 --       0 -- 0.9400 -- 0.0000 
    429600 -> Machine_40 --   1 --          0 --       0 -- 0.9500 -- 0.0000 
    429600 -> Machine_41 --   1 --          0 --       0 -- 0.9700 -- 0.0000 
    429600 -> Machine_42 --   1 --          0 --       0 -- 0.9600 -- 0.0000 
    429600 -> Machine_43 --   1 --          0 --       0 -- 1.0000 -- 0.0000 
    429600 -> Machine_44 --   1 --          0 --       0 -- 0.8300 -- 0.0000 
    429600 -> Machine_45 --   1 --          0 --       0 -- 0.9500 -- 0.0000 
    429600 -> Machine_46 --   1 --          0 --       0 -- 0.9100 -- 0.0000 
    429600 -> Machine_47 --   1 --          0 --       0 -- 0.9200 -- 0.0000 
    429600 -> Machine_48 --   1 --          0 --       0 -- 0.8300 -- 0.0000 
    429600 -> Machine_49 --   1 --          0 --       0 -- 0.8700 -- 0.0000 
