GLOBALTIME -> ID  -- Machines Assigned
       180 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       180 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       180 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       240 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       240 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       240 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       240 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       240 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       240 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       240 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       240 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       240 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       240 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       240 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       240 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       240 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       240 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       240 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       240 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       240 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       240 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       240 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       240 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       240 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       240 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       240 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       240 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       300 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       300 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       300 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       300 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       300 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       300 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       300 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       300 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       300 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       300 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       300 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       300 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       300 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       300 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       300 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       300 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       300 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       300 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       300 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       300 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       300 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       300 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       300 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       300 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       360 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       360 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       360 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       360 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       360 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       360 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       360 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       360 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       360 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       360 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       360 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       360 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       360 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       360 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       360 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       360 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       360 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       360 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       360 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       360 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       360 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       360 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       360 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       360 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       360 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       420 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       420 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       420 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       420 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       420 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       420 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       420 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       420 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       420 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       420 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       420 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       420 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       420 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       420 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       420 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       420 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       420 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       420 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       420 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
