GLOBALTIME -> ID  -- Machines Assigned
       180 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       180 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       180 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       240 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       240 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       240 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       240 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       240 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       240 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       240 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       240 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       240 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       240 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       240 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       240 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       240 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       240 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       240 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       240 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       240 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       240 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       240 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       240 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       240 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       240 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       240 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       240 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       240 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       300 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       300 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       300 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       300 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       300 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       300 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       300 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       300 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
